Affinity Row ID,Organization Id,Name,Website,Description,Industry,Investors,Sector,Sub-Sector,Tech Trend(s)
110799315,161873813,Tagup,tagup.io,"See all your equipment data in one place and use cutting-edge machine learning to prioritize inspections, streamline maintenance, and avoid unplanned downtime.",Internet Software & Services; Information Technology & Services; Technology; B2B; SAAS; Enterprise; Predictive Analytics; Machine Learning; Artificial Intelligence; Internet of Things; Analytics; Cloud; Data; Equipment; Industry; Internet; Learn; Real; Time; Web; Business Services; Custom Software & IT Services,Urban Future Lab; Future Labs,Cross-Sector,Predictive Maintenance; Asset Tracking & Management,Internet of Things
110799305,164024393,NineDot Energy,nine.energy,"NineDot Energy is a New York City-based clean-tech developer. We design and deploy community distributed generation projects that save subscribers money, strengthen our power grid, and provide environmental benefits.",Renewable Electricity; Renewables & Environment; Design; Energy; Environmental; Supply; Vehicles,Wells Fargo Innovation Incubator; Future Labs; Urban Future Lab,Energy,"",""
110799275,120608157,eCamion,ecamion.com,"Electric vehicle charging, smart energy storage and advanced power electronics.  Proudly Canadian.",Electrical Equipment; Computer Storage Equipment; Computer Equipment & Peripherals; Manufacturing; E-commerce; Electrical; B2B; Enterprise; Building; Business; Energy; Fast; Infrastructure; Local; Storage; Technology; Time; Vehicles,Mars Investment Accelerator Fund; Future Labs; Urban Future Lab,Energy,"",""
110799267,162572266,Dollaride,dollaride.com,Connecting commuter van drivers with passengers on their daily route.,Internet Software & Services; Software Development & Design; Software; Information Technology & Services; Technology; B2C; Marketplace; Mobile; Internet; Living; Local; Mobility; Networks; Platform; Public; Service; Transportation,Powerhouse Ventures (oakland); Urban Future Lab; Future Labs,"","",""
110799265,224210903,Diverso Energy,diversoenergy.com,"Future proof your building with our geothermal solutions. All the BENEFITS   : none of the risk.","Renewable Electricity; Electricity, Oil & Gas; Energy, Utilities & Waste Treatment; Renewables & Environment; B2B; Enterprise; Sustainability; Building; Energy; Future; Technology",Future Labs; Urban Future Lab,Energy,"",""
110799264,1666889,Demand Logic,demandlogic.co.uk,Demand Logic - Property performance simplified. Demand Logic is a software tool which provides actionable intelligence to property managers and building contractors. It is intended to deliver quantifiable benefits in a short space of time and to make t...,Custom Software & IT Services; Internet Software & Services; Business Services; Information Technology & Services; Technology; Consulting & Professional Services; B2B; SAAS; Enterprise; CleanTech; Property Management; Analytics; Building; Data; Energy; IT; Management; Property; PropTech; Software,Urban Future Lab; Pi Labs,Energy,Energy Efficiency; Load Management,Energy Usage Tracking and Metering
110791166,1671119,Rebound Technologies,rebound-tech.com,"An agile cold chain solution that boosts revenues, preserves product quality and ensures food safety, all while offering proven energy cost reductions.","Renewable Electricity; Energy, Utilities & Waste Treatment General; Energy, Utilities & Waste Treatment; Renewables & Environment; B2B; Enterprise; Energy Storage; Embedded Systems; Food; FoodTech; Gas; Industry; Product; Supply; Technology; Equipment; Logistics; Productivity",Clean Energy Ventures; Skyview Ventures; Autodesk Foundation,Transportation + Logistics,"",""
110757425,282930849,Carbon Reform,carbonreform.com,Carbon capture and indoor air quality control for commercial buildings,Renewable Electricity; Renewables & Environment; Product Design; Commerce; Building; Energy; Finance; FinTech; Human; Smart,Plug And Play Tech Center,Built Environment; Carbon,"",""
110663247,281939332,Aeoncharge,aeoncharge.com,"A universal payment passport for your electric vehicle charging: locate, activate, and pay for your charging with various providers through only our mobile app.",Automotive; Navigation; Software; App; Automation; Car; Market; Mobile; Payment; Vehicles,Y Combinator,Energy; Transportation + Logistics,EV Ecosystem; EV Charging,Mobile App
110663246,283911372,Olympian Motors,olympianmotors.com,Unique.  Aesthetic.  American.  Electric Cars.,Artificial Intelligence; Automation; Building; Commerce; Data; Design; IT; Materials; Production; Vehicles,Y Combinator,Energy; Transportation + Logistics,Electric Vehicles,Luxury Vehicles
110663241,285048832,Telematica,telematica.so,"Telematica’s API enables apps to connect with users' Electric Vehicles without the use of any hardware devices. Remotely access data like battery level, range & charging status.",Network Security; Battery; Brand; Cloud; Data; Market; Mobility; Platform; Sales; Smart; Vehicles,Y Combinator; Worldquant Ventures,Transportation + Logistics; Energy,"",""
110663239,284372086,Pelm,pelm.com,Pelm is focused on democratizing and modernizing the energy sector with our technology. We build developer-centric infrastructure that empowers everyone to create powerful products that solve big problems.,Active; Building; Computer; Data; Energy; Infrastructure; Product; Property; Technology; Utilities,Y Combinator,Energy,"",""
110663228,283434672,Phoenix Hydrogen,phoenixhydrogen.com,Phoenix Hydrogen provides hydrogen supply and storage solutions to customers in the power and industrial sectors.,Renewable Electricity; Renewables & Environment; Building; Industry; Infrastructure; Marketplace; Platform; Storage; Supply; Utilities; Warehouse,Y Combinator,Energy,"",""
110663220,284820024,Moneytree,moneytreepower.com,"Moneytree Power is solar for landlords. We offer all the hardware, software, and financial guarantees necessary to sell solar power to tenants and increase cash flow.",Battery; Cleaner; Energy; Hardware; Platform; Property; Rental; Software; Solar; Storage,Y Combinator,Energy; Built Environment,"",""
110663211,286463757,Posh Robotics,poshrobotics.com,Posh Robotics provides the best in class restaurant robots that offer unmatched functionalities and style,Robotics; Automation; Battery; Economy; Fast; Future; IT; Metals,Global Founders Capital; Outbound Capital; Metaplanet; Uphonest Capital; Starling Ventures; Helium-3 Ventures; Y Combinator; Beni Venture Capital; Worldquant Ventures,Energy; Transportation + Logistics,EV Ecosystem; Battery Recycling,Recycling; Automation
110663202,222283969,Perl Street,perlstreet.com,The scalable financing system for hardware startups.,Internet Software & Services; Information Technology & Services; Energy; FinTech; Future; Hardware; Infrastructure; Investment; IT; Physical; Platform; Technology,Y Combinator; Urban Us,"","",""
110663198,285048852,Carbon Crusher,carboncrusher.io,Road tech company repairing roads in a carbon negative way.,Active; Building; Construction; Future; Materials; Oil; Public; Service,Y Combinator,Carbon; Transportation + Logistics,"",""
110663192,284812517,Alga Biosciences,alga.bio,Kelp for cows,Active; BioTech; Farm; Product; Time,Y Combinator,Food + Agtech,"",""
110663189,284820018,AirMyne,airmyne.com,  AirMyne is a stealth-mode startup working to capture carbon dioxide from air.  More to come in April 2022.,Building; Hardware; Industry,Y Combinator,Carbon,"",""
110663185,282914335,Impossible Mining,impossiblemining.com,Impossible mining (YC W22) is building underwater robotics vehicles which collect battery metals from the seabed without harming the environment,Metals & Mining; Mining & Metals; Battery; Building; Energy; Fast; Learn; Logistics; Metals; Robotics; Technology; Vehicles,Y Combinator; Microventures; Liquid 2 Ventures; New Venture Order; Quiet Ventures; Capitalx; Soma Capital Fund; Gaingels; Starlight Ventures; Futureland Ventures; Arm Holdings Plc; Pareta Ventures; Noveus Capital; Zillionize; Palrecha Capital; Tango.vc; Climate Collective; Aureolis Ventures; Newgen Venture; Rebel Fund; Chalet.vc; Justin Hamilton; Park Capital,"","",""
110663182,284348598,Beyond Aero,beyond-aero.com,Hydrogen-electric aircraft,Aerospace; Building; Engineering; Family; Fast; Government; GovTech; Human,Y Combinator,"","",""
110663173,279067743,Verdn,verdn.com,"Instant sustainability with automated storytelling. Increase customer engagement 10x by attaching environmental pledges to any of your products or services. Let your customers track their own impact automatically, after purchase, with updates from worl...",Renewable Electricity; Renewables & Environment; Sustainability; E-commerce; Environmental; Marketing; Media; Own; Product; Service; Social; Storytellers,Y Combinator,"","",""
110663165,285485864,Aklimate,getaklimate.com,Aklimate builds software to accelerate the net zero transition,Data; Exchange; IT; Management; Platform; SaaS; Tools,Y Combinator,"","",""
110552233,284679564,Agave,agaveapi.com,"Agave makes it easy for developers to integrate with software used in the construction industry. We do this by unifying fragmented and legacy systems in a well-documented API that any developer can use to integrate in hours, not weeks.",Construction; CRM; Data; Fast; Industry; IT; Management; SaaS; Software,Y Combinator,Built Environment,"",""
110217367,1786018,EnMass Energy,enmassenergy.com,"Manage your Waste-to-Energy supply chain with advanced, cloud-based technology.",Electric Utilities; Business Services General; Software Development & Design; Business Services; Software; Energy; Electrical; Renewables & Environment; B2B; Enterprise; Other Energy; Food; FoodTech; Materials; Platform; Supply; Technology; Transportation; Waste; Wood,Blue Bear Capital; Looking Glass Capital; And Climate Cloud.the; Climate Cloud; Techstars,Energy,"",""
110059487,268030876,Waste Labs,wastelabs.co,Artificial Intelligence for waste collection and circular supply chains,Infrastructure; Logistics; Recommendations; Smart; Supply; Data; Platform; Service; Waste; Internet Software & Services; Information Technology & Services; Artificial Intelligence; Business; Development; Energy; Engineering; Industry; LED; Management; Planning,Entrepreneur First; Fund4se,"","",""
109971513,222029255,tripartie,tripartie.com,Plus d'un million d'annonces de biens et services sont déjà protégées par l'App Tripartie. Découvrez le futur des transactions entre particuliers !,E-commerce; Firm; LegalTech; Market; Marketplace; Online; Retail; Internet Software & Services; Credit Cards & Transaction Processing; Finance; Information Technology & Services; FinTech; App; Future; Goods; Mobile; Payment; Platform; Sales; Service; Web,Plug And Play Tech Center; Paris Business Angels,"","",""
109809463,144905327,Future Sight AR,futuresight-ar.com,"Future Sight AR is world class at enhancing the way we build industrial   facilities using immersive technology. Deploy one of our augmented or mixed   reality application and save million of dollars in rework & delays.",Internet Software & Services; Information Technology & Services; Energy; Training; Augmented reality; Construction; Future; Industry; Platform; Smart; Technology; Time,Masschallenge,Built Environment; Transportation + Logistics; Cross-Sector,"",""
109782757,263017128,Veloce Energy Inc.,veloceenergy.com,Veloce Energy is innovating technology and financing models to reduce physical and financial barriers to EV Charging infrastructure deployment,Automotive; Automation; Battery; Building; Construction; Content Distribution; Energy; Engineering; Fast; Finance; FinTech; Future; Glass; Infrastructure; Installation; Physical; Platform; Public; Smart; Software; Storage; Technology; Time; Transportation; Vehicles,Plug And Play Tech Center,Energy; Transportation + Logistics,"",""
109757839,222330468,Gather AI,gather.ai,"The world's first software-only autonomous inventory management platform   for modern warehouses./.",Professional Services; Automation,Plug And Play Tech Center; Xrc Labs; Bling Capital,Built Environment,Warehouse Tech,Drones; Imaging
109667258,263143768,Dapster AI,dapster.ai,Dapster is building the only brownfield-friendly mobile case-picking robot for warehouses.,Building; Mobile,Plug And Play Tech Center,Built Environment,"",""
109545946,263595589,THERMA,hellotherma.com,"Continuous monitoring technology that protects your inventory, while putting money back in your pocket. Awesome, automated temperature management.",Test & Measurement Equipment; Manufacturing; Content & Collaboration Software; Electronic Components; Software & Technical Consulting; Electronics; Business Services General; Software Development & Design; Business Services; Software; Analytics; Building; Energy; Food; FoodTech; Future; GovTech; Health; Industry; Information; Internet of Things; Management; Product; Restaurant; Sensors; Service; Smart; Social; Supply; Technology; Tools; Waste,Deciens Capital; Collaborative Fund; Stage Venture Partners; Rite Hite; Govtech Fund; Clocktower Technology Ventures; Active Impact Investments; G Bar Ventures; Active Impact Investments.; Urban Us,Food + Agtech,Cold Chain Monitoring,""
109402580,280232003,Revolv,revolv.us,Next-generation zero-emission fleet management. Revolv simplifies technology adoption for commercial fleets by redefining full-service transportation.,Transportation; Business; Commerce; Finance; FinTech; Investment; IT; Management; Technology; Vehicles,Techstars,"","",""
109231249,279333436,Flux Marine,fluxmarine.com,Revolutionizing Marine Electrification. 100% Electric Outboards.,Market; Product; Automation; Design; Event; Gas; Industry; Technology; Time; Water Tech,Maine Angels; Winklevoss Capital; Boost Vc; Ocean Zero; Masschallenge; Nextfab; Creative Destruction Lab,"","",""
108939788,262541248,ChargerHelp!,chargerhelp.com,"ChargerHelp! provides technology solutions to maintain EV charging stations. Our national service coverage supports a broad set of industry customers from Amazon.com and Duke Energy to Spark Charge, Juice Bar and more. We are a proud women owned business.",Renewable Electricity; Renewables & Environment; App; Development; Environmental; Industry; Job; Learn; Local; Mobility; Recruiting; Service; Technology; Training; Vehicles,Jff; The Fund; Trucks Vc; Energy Impact Partners; Grid110; Elemental Excelerator; Rethink Education Management; Kapor Capital; Plug And Play Tech Center,Energy; Transportation + Logistics,EV Ecosystem,Labor Training
108910958,144907844,EnergyX,energyxsolutions.com,"EnergyX is a marketing automation company for energy providers to engage   their customers in energy efficiency programs.","Electrical Equipment; Electrical; Information Technology & Services; B2B; SAAS; Enterprise; SaaS; Automation; Business; Energy; Local; Marketing; Platform; Service; Software; Technology; Utilities; Energy, Utilities & Waste",Globalive Capital; Impact Investment Partners; Creative Destruction Lab; Bdc Capital’s; Bdc Capital’s Growth And Transition Capital; Mars Investment Accelerator Fund; Bdc Capitals Growth; Transition Capital Division,Energy; Built Environment,Energy Efficiency,""
108910485,140046557,Signol,signol.io,"Signol is a software platform that draws on insights from behavioral economics to encourage employees to make more efficient decisions. Signol provides personalized feedback through multiple communication channels, as well as data analysis for managers...",Internet Software & Services; Software; Information Technology & Services; Technology; B2B; SAAS; Enterprise; Analytics; Communication; Data; Job; Management; Personal; Platform; Science; Waste,Plug And Play Tech Center; Tecpier,"","",""
108876788,282758803,A i d e n,aidenabled.com,"Connected cars are not connected. We exist to change that. Aiden is the first software solution to enable rich, reliable, and real-time communication across vehicle brands. We connect vehicles with the rest of the world, making sure that you always are in complete control over your data.",Automotive; Automation; Brand; Building; Car; Communication; Data; Internet of Things; Product; Software; Vehicles,Plug And Play Tech Center; Mobilityxlab,"","",""
108716148,1783728,Preteckt,preteckt.com,Preteckt offers cloud-based vehicle prognostics powered by AI to support all fleet vehicle types while delivering the world's highest precision repair plans. Get to the root cause 40% faster.,Service; Automation; Automotive Service & Collision Repair; Consumer Services; Information Technology & Services; Technology; B2B; SAAS; Artificial Intelligence; Big Data; Machine Learning; Internet of Things; Automotive; Transportation; Cause; Data; Diagnostics; Hardware; Learn; Software; Vehicles; Internet Software & Services,Innova Memphis; 500 Startups; Creative Destruction Lab; Elev8.vc; Las Olas Venture Capital; Comet Labs.; Plug And Play Tech Center; Xg Ventures; Growthx,"","",""
108467326,268147031,Sicona Battery Technology,siconabattery.com,"Sicona develops next-generation battery materials technology used in the anodes (negative electrodes) of lithium-ion (“Li-ion”) batteries that enable electric-mobility and storage of renewable energy. Sicona is commercialising an innovative silicon-composite battery anode technology, developed and perfected over the last ten years at the Australian Institute for Innovative Materials (AIIM). Sicona’s current generation silicon-composite anode technology delivers 50% to 100% higher capacity than conventional graphite anodes and its anode materials can deliver more than 50% higher cell energy density than current Li-ion batteries. In addition, Sicona has developed a water-based binder that has a 3D network structure, improved electro-conductivity, and self-healing properties that significantly increases the cycle of next generation anodes. Sicona uses off the shelf equipment in a highly scalable and efficient manufacturing process to produce its active anode materials and polymer binder. Sicona intends to produce and sell high performance active anode and binder materials into the fast-growing global battery market through a focused partnership approach with established and reputable supply chain partner companies.","Electronic Equipment, Instruments & Components; Nanotechnology; Battery; Technology; Energy; Materials; Storage",Bandera Capital; Australian Federal Government; Sdgx Ventures; Riverstone Ventures; Artesian; Iaccelerate,"","",""
108017572,159037736,Datch,datch.io,"Built on top of a powerful connected platform, the Datch Voice Assistant allows you to use the most natural form of communication - your voice - to converse with your site, allowing you to connect and interact with your existing in-house systems throug...",Internet Software & Services; Information Technology & Services; Machine Learning; Business; Communication; Industry; IT; Manufacturing; Platform; Voice; Artificial Intelligence; Data; Time,Blue Bear Capital; Stage Venture Partners; Plug And Play Tech Center; Icehouse Ventures; Rannapo Partners; Right Side Capital Management; Blackhorn Ventures,Cross-Sector; Built Environment,Data Capture and Data Fusion for High-Level Insights,Analytics; Voice AI
107894752,285345655,Chargerobotics,chargerobotics.com,"Charge Robotics is building robots that automate the most labor-intensive parts of solar construction. Solar has rapidly become the cheapest form of power generation in many regions. Demand has skyrocketed, and now the primary barrier to getting it installed is labor logistics and bandwidth. Our robots remove the labor bottleneck, allowing construction companies to meet the rising demand for solar, and enabling the world to switch to renewables faster.",Building; Construction; IT; Logistics; Robotics; Solar,Y Combinator,Built Environment; Energy,Energy Generation,Robotics; Solar
79705300,2167624,Voyage Control,voyagecontrol.com,"Voyage Control is a cloud-based software platform that facilitates delivery scheduling, resource allocation, and overall logistics management, all while keeping your supply chain data in one place.",Data; Delivery; Event; IT; Product; Provider; SaaS; Supply; Time; Tools; Internet Software & Services; Freight & Logistics Services; Transportation; Information Technology & Services; Technology; B2B; SAAS; Enterprise; Sustainability; Logistics; Marketplace; Events; Software; Cargo; Construction; Freight; Management; Platform; Security,Plug And Play Tech Center,Transportation + Logistics,"",""
79581011,225046531,ecoworks,ecoworks.tech,ecoworks ist ein Hybrid aus Bauunternehmen und Energieversorger. Wir modernisieren Siedlungsbauten der 50er bis 70er Jahre nach dem Net Zero-Prinzip und versorgen die Gebäude und ihre Mieter für mindestens 15 Jahre mit CO2-frei erzeugter Wärme und biet...,Professional Services; Architecture; Building; Energy; Industry; Management; Planning; Provider; Family; Home; Local; Supply,Zacua Ventures; Jll Spark Global Venture; Motu Ventures; Blackhorn Ventures; Warema Group; Proptech1,Built Environment,Prefabrication and Modular; Energy Efficiency,Hardware
74004192,284682013,Solo Advanced Vehicle Technologies,soloavt.com,Revolutionizing the freight transportation industry.,Autonomous; Building; Freight; Industry; IT; Platform; Transportation; Vehicles,Trucks Vc; Maniv Mobility; Wireframe Ventures,"","",""
74004189,164723349,Transect,transect.com,Environmental due diligence with Transect makes it easier to find and make informed project development decisions with real-time insights.,Renewable Electricity; Renewables & Environment; Energy; Technology; Information Technology & Services; Marketplace; B2B; Natural Resources; Oil and Gas; Civil Engineering; Development; Environmental; Gas; IT; Oil; Online; Product; Recommendations; SaaS; Software; Tools; Website,Holt Ventures.; Blue Bear Capital; Holt Ventures; Gary Horn,"","",""
73808960,201778037,Circuit Mind,circuitmind.io,"Circuit Mind enables electronics engineering companies, teams, and engineers to design reliable electronic systems faster and without errors.",Future; Internet Software & Services; Electronics; Manufacturing; Information Technology & Services; Artificial Intelligence; Building; Design; Engineering; Hardware; Software; Technology; University,Differential Ventures; Creative Destruction Lab; Entrepreneur First; Episode 1 Ventures; Mk Venture Capital; Join Capital,Energy,Electronic Engineering,Digitally Enabled Innovation; Artificial Intelligence
46111226,213996021,Atomionics,atomionics.com,"Atomionics is a Singapore based VC-backed startup building quantum sensors for                            Navigation and Resource Exploration. Atomionics’ sensors can build a complete map of the                            underground thus help pinpoi...",Mining; Metals & Mining; Navigation; 3D; Aerospace; Building; Drones; Electronics; Engineering; Gas; Gym; Information; Lab; Measurement; Oil; Public; Quantum; Real; Research; Robotics; Science; Sensors; Software; Space; Technology,Sginnovate; 500 Startups; Cap Vista; Wavemaker Partners; Entrepreneur First; Apsara Investments; 6th Horizon,"","",""
45875458,213994036,Dynamic Infrastructure,diglobal.tech,"Dynamic Infrastructure enables engineers and asset managers, the automatic creation of the “big picture” for risk assessment of civil infrastructure inventories. With the power of artificial intelligence and deep global civil-engineering knowledge, DI technology analyzes and digitizes hundreds of large or small assets in a matter of days.",Infrastructure; Transportation; Artificial Intelligence; Computer; Information; Software,Plug And Play Tech Center,"","",""
45074913,2165959,Carbon Lighthouse,carbonlighthouse.com,Uncover $0.20 - $1.00 / sq.ft. of new NOI with Carbon Lighthouse’s SMART platform. Designed for exclusively for commercial real estate acquisitions and asset management.,"Electricity, Oil & Gas; Energy, Utilities & Waste Treatment; Renewable Electricity; Renewables & Environment; Energy; B2B; Enterprise; Commercial Real Estate; Sustainability; Energy Efficiency; Machine Learning; Facility Management; Asset Management; Building; Commerce; Estate; Finance; IT; Real; EdTech; Education; FinTech",Ulupono Initiative; Steve Girsky; Cox Enterprises; National Grid Partners; Ekistic Ventures; Radicle Impact Partners; Ppp; U.s. Small Business Administration.; Jci Ventures; Jb Straubel; Sv Tech Ventures; Ceas Investments; Grc Sinogreen Fund; Grc Sinogreen,"","",""
44759744,221910603,Partsimony,partsimony.com,Your manufacturing supply chain superpower in a world of uncertainty. #sustainability #supplychain #manufacturing #procurement #hardware,Internet Software & Services; Internet; Manufacturing; Product Design; Hardware; Supply Chain Management; Building; Design; Future; Learn; Platform; Product; Supply; Management,Contour Venture Partners; Techstars,"","",""
44758758,221342043,Circuit,ridecircuit.com,"#RideCircuit - 100% Electric, On-Demand, Last-Mile shuttle services.  DL the app and ride in CA, FL, NJ, NY, TX",Transportation; Advertising; App; Business; College; Energy; IT; Local; Marketing; Media; Moving; Outdoor; Product; Service; Vehicles; Video,Urban Us,Transportation + Logistics; Energy,"",""
44758432,223960419,VECKTA,veckta.com,"VECKTA, the Energy Transition Platform, is the leading global marketplace for design, optimization, and procurement of complete microgrids.",Development; Design; Energy; Engineering; Finance; FinTech; Marketplace; Platform; Supply; Tools,Volo Earth Ventures; Seedfolio; Nomadic Ventures; Cove Fund; She's Independent; Plug And Play Tech Center; Triple Impact Capital,"","",""
44758098,1666035,WattIQ,wattiq.io,"WattIQ is the only enterprise-grade IoT solution that connects thousands of unconnected electrical assets, making it possible for the first time to monitor utilization, condition, and location using a single device, the smart plug. %",Internet Software & Services; Information Technology & Services; Data; Device; Energy; Enterprise; Health; Internet of Things; IT; Management; Smart; Time,Wells Fargo Innovation Incubator,Energy,"",""
44757744,224045740,Community Energy Labs,communityenergylabs.com,CEL’s modern building control solutions make smart energy management and decarbonization both accessible and affordable for community building owners.,Renewable Electricity; Renewables & Environment; Project Management; Product Design; Building; Energy; Management; Platform; Product; Service; Commerce; FinTech; Internet of Things; Learn; SaaS,Wells Fargo Innovation Incubator; For Climatetech,Energy,"",""
44728186,283878905,Kit Switch,kitswitch.com,"Kit Switch facilitates the adaptive reuse of existing buildings into housing. They are a team of five women, architects and engineers, creating prefabricated wall panels for developers to seamlessly add kitchen and bathrooms to existing structures. The kit is an end-to-end which includes both hardware and digital models to integrate with architect and contractor workflows.",Construction; Manufacturing,Wells Fargo Innovation Incubator,"","",""
44609654,223315864,Zilper Trenchless,zilpertrenchless.com,"Experts in Trenchless Technology, creators of Assisted Dynamic Boring (ADB), equipment, tools and machine developers to install or replace underground pipelines without the need for a trench.","Construction & Engineering; Civil Engineering; Manufacturing; Technology; Energy, Utilities & Waste Treatment General; Energy, Utilities & Waste Treatment; Page; Business; Commerce; Engineering; Infrastructure; Product; Real; Water Tech",Techstars; Designx,"","",""
44602497,223149834,Domatic,domatic.io,"Domatic is a better way to electrify a building by making electrical wiring simpler, smarter, and greener. Join our mission.",Construction & Engineering; Construction; Building; Content Distribution; Energy; IT; Smart; Software; Time,Urban Us,"","",""
44415022,225080310,TrojAI,troj.ai,"TrojAI is developing solutions to protect artificial intelligence platforms from adversarial attacks on training data and AI models, such as poisoning or embedded Trojan and evasion attacks.",Building; Cybersecurity; Firm; Internet Software & Services; Information Technology & Services; Artificial Intelligence; Computer; Data; Security; Service; Technology; Training,Build Ventures; Techstars; Canadian Technology Accelerator; Flying Fish Partners,"","",""
44413847,283993992,Azure Printed Homes,azureprintedhomes.com,Azure is fundamentally changing the construction industry by leveraging 3D printing technology using polymers.,3D; Construction; Design; Industry; Living; Materials; Printing; Technology,Plug And Play Tech Center,"","",""
44287046,284536346,Paces,paces.ai,"Paces derisks the development and operation of your green infrastructure project. Using 100s of data points and advanced financial modeling, we can accelerate your project development and increase project profitability.",Analytics; Data; Environmental; Infrastructure; Platform,Resolute Ventures; Y Combinator,"","",""
